Time (sec),Load of Online Machines(%), Lowest Load(%), Highest Load(%), # of Requests,Powered BED Count,Group Power(w),Active BED Count,S3 Powered Count,Online BED Count,Group Power Factor (%),Average CPU Core Temp. (°c), Hottest CPU Core Temp. (°c),WC Average CPU Core Temp (°c), WC Hottest CPU Core Temp (°c),Capacity Used(%),I/O Load of Online Machines(%),I/O Capacity Used(%), # Batch Jobs
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2810179280,0,0,0,0
2,0.3,0.15,3.87,0,33,3034,33,0,33,0.871212,35,48,0,2810179280,0,0,0,0
3,0.27,0.14,3.9,0,63,5973,63,0,63,0.89746,35,48,0,2810179280,0,0,0,0
4,0.26,0.16,3.98,0,64,6048,64,0,64,0.89875,35,48,0,2810179280,0,0,0,0
5,0.29,0.17,4.02,0,64,6051,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
6,0.29,0.15,3.89,0,64,6051,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
7,0.35,0.16,6.81,0,64,6053,64,0,64,0.897969,35,48,0,2810179280,0,0,0,0
8,0.33,0.15,7.26,0,64,6042,64,0,64,0.898437,35,49,0,2810179280,0,0,0,0
9,0.31,0.14,7.17,0,64,6039,64,0,64,0.898125,35,49,0,2810179280,0,0,0,0
10,0.25,0.16,4.08,0,64,6037,64,0,64,0.898125,35,49,0,2810179280,0,0,0,0
11,0.31,0.16,6.6,0,64,6037,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
12,0.25,0.14,3.85,0,64,6040,64,0,64,0.897969,35,48,0,2810179280,0,0,0,0
13,0.23,0.15,3.84,0,64,6040,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
14,0.25,0.14,3.9,0,64,6040,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
15,0.24,0.15,3.84,0,64,6023,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
16,0.26,0.15,3.92,0,64,6023,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
17,0.29,0.13,6.79,0,64,6021,64,0,64,0.898281,35,48,0,2810179280,0,0,0,0
18,0.32,0.14,7.19,0,64,6016,64,0,64,0.898281,35,48,0,2810179280,0,0,0,0
19.1,0.29,0.15,7.22,0,64,6029,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
20.1,0.28,0.17,3.96,0,64,6030,64,0,64,0.898281,34,48,0,2810179280,0,0,0,0
21.1,0.26,0.14,3.9,0,64,6033,64,0,64,0.897812,35,48,0,2810179280,0,0,0,0
22.1,0.26,0.14,3.92,0,64,6026,64,0,64,0.898125,35,48,0,2810179280,0,0,0,0
23.1,0.3,0.15,3.92,0,64,6033,64,0,64,0.897812,35,48,0,2810179280,0,0,0,0
24.1,0.23,0.15,3.88,0,64,6033,64,0,64,0.897812,35,48,0,2810179280,0,0,0,0
25.1,0.23,0.14,3.83,0,64,6031,64,0,64,0.897969,35,48,0,2810179280,0,0,0,0
26.1,0.25,0.15,3.87,0,64,6029,64,0,64,0.898594,35,48,0,2810179280,0,0,0,0
27.1,0.31,0.15,6.8,0,64,6029,64,0,64,0.898594,35,48,0,2810179280,0,0,0,0
28.1,0.31,0.14,7.18,0,64,6026,64,0,64,0.898437,35,48,0,2810179280,0,0,0,0
29.1,0.31,0.15,7.18,0,64,6030,64,0,64,0.898281,35,48,0,2810179280,0,0,0,0
30.1,37.31,27.26,46.73,0,64,6030,64,0,64,0.898281,36,48,0,2810179280,0,0,0,0
31.1,38.88,30.18,43.32,0,64,6037,64,0,64,0.9,39,49,0,2810179280,0,0,0,0
32.1,37.65,30.8,44.03,0,64,6037,64,0,64,0.9,39,49,0,2810179280,0,0,0,0
33.1,39.14,32.04,45.93,0,64,6044,64,0,64,0.907969,39,50,0,2810179280,0,0,0,0
